year,period,month,PS_month,CPI,inflation_CPI,inflation_PS,mdate
2010,M05,May,100.08816393548388,99.18804895346511,0.0775197354237811,0.2918253082047295,2010-05-01
2010,M06,Jun,100.13282086666666,99.09121492607882,-0.09762670846739097,0.04461759455551828,2010-06-01
2010,M07,Jul,100.28317096774194,99.11212743903548,0.021104305737140727,0.15015066965453627,2010-07-01
2010,M08,Aug,100.33237741935484,99.24896801294759,0.13806642784082168,0.04906750667938997,2010-08-01
2010,M09,Sep,100.50655666666667,99.30670473350183,0.05817362307154461,0.1736022326908726,2010-09-01
2010,M10,Oct,100.66186129032258,99.43036133185431,0.12451988884771836,0.15452188275735246,2010-10-01
2010,M11,Nov,101.00298666666667,99.47218635776764,0.04206464238194485,0.338882444623434,2010-11-01
2010,M12,Dec,101.0292,99.64312342019603,0.1718440789203024,0.02595302792365306,2010-12-01
2011,M01,Jan,101.52803548387097,100.11774654034298,0.47632300539741657,0.4937537700694161,2011-01-01
2011,M02,Feb,102.31238928571429,100.61146369405903,0.49313650254512176,0.7725489793092066,2011-02-01
2011,M03,Mar,102.8013,101.59253332363478,0.97510720305094,0.47786071432698307,2011-03-01
2011,M04,Apr,103.28674766666667,102.2467312833009,0.6439429535457064,0.47221938503372307,2011-04-01
2011,M05,May,103.6375906451613,102.7277190813042,0.4704187527233561,0.33967860003385475,2011-05-01
2011,M06,Jun,103.868803,102.61770107835828,-0.10709670566991791,0.22309699926383875,2011-06-01
2011,M07,Jul,104.1320693548387,102.70862504773508,0.08860456667936223,0.25346046862473326,2011-07-01
2011,M08,Aug,104.05600096774194,102.99185321234383,0.27575889023643274,-0.07304991398716654,2011-08-01
2011,M09,Sep,104.20953333333334,103.14824243967196,0.15184621156947298,0.14754782440562497,2011-09-01
2011,M10,Oct,104.29840032258065,102.93548035133023,-0.20626826333581816,0.0852772163973281,2011-10-01
2011,M11,Nov,104.25240766666667,102.84864796057536,-0.08435613304420553,-0.04409718248000738,2011-11-01
2011,M12,Dec,104.20183451612903,102.59497008601409,-0.24665163771381282,-0.04851029503255555,2011-12-01
2012,M01,Jan,104.37506838709677,103.04640759396992,0.4400191428267419,0.16624838878527282,2012-01-01
2012,M02,Feb,104.57539862068965,103.50011820116019,0.4402973551276279,0.19193303217768243,2012-02-01
2012,M03,Mar,104.98693838709677,104.2861559164227,0.7594558623930991,0.39353401644666164,2012-03-01
2012,M04,Apr,105.283739,104.60120747031331,0.30210295040800084,0.2827024175225512,2012-04-01
2012,M05,May,105.1643670967742,104.47846011165463,-0.11734793663210619,-0.1133811397273754,2012-05-01
2012,M06,Jun,105.19771,104.32525322325472,-0.14663968844503827,0.03170551408835376,2012-06-01
2012,M07,Jul,105.40276161290322,104.1552254005201,-0.16297858618254946,0.19492022488247773,2012-07-01
2012,M08,Aug,105.85176548387096,104.73486570529722,0.5565158181437102,0.4259887161369935,2012-08-01
2012,M09,Sep,106.16395266666666,105.20221490789403,0.4462212267611454,0.29492864986107037,2012-09-01
2012,M10,Oct,106.22206774193549,105.16129912167446,-0.038892514055333116,0.05474087372321357,2012-10-01
2012,M11,Nov,105.93955233333334,104.66303576948957,-0.4738086694881849,-0.2659667756501616,2012-11-01
2012,M12,Dec,105.78518612903225,104.38117146442146,-0.2693064490207342,-0.1457115882606108,2012-12-01
2013,M01,Jan,106.12925193548386,104.68985834045571,0.2957304192926058,0.32524951653620793,2013-01-01
2013,M02,Feb,106.85586357142857,105.547271371679,0.8190029529268728,0.6846478446737914,2013-02-01
2013,M03,Mar,107.31432322580645,105.82322561873761,0.26145085843749527,0.42904492000237493,2013-03-01
2013,M04,Apr,107.52833566666666,105.71320761579169,-0.10396394770869621,0.19942579371245994,2013-04-01
2013,M05,May,107.73212032258064,105.90142023240165,0.17804077735867896,0.18951716740571722,2013-05-01
2013,M06,Jun,107.93904466666666,106.15555272680983,0.239970808559975,0.19207302656480962,2013-06-01
2013,M07,Jul,108.07151129032258,106.19737775272317,0.03939975332329926,0.12272354648403816,2013-07-01
2013,M08,Aug,108.08230967741936,106.32512592969758,0.12029315570472043,0.009991890524951863,2013-08-01
2013,M09,Sep,108.21168333333333,106.44878252805006,0.11630044852639632,0.11969919619603253,2013-09-01
2013,M10,Oct,108.35328774193549,106.17464676037898,-0.2575283259804717,0.1308587060474542,2013-10-01
2013,M11,Nov,108.500619,105.95779309341529,-0.2042424190523473,0.1359730388757585,2013-11-01
2013,M12,Dec,108.64450903225807,105.94870069647762,-0.00858114978825597,0.1326167846637638,2013-12-01
2014,M01,Jan,109.06322483870967,106.34285610372606,0.3720247673236088,0.3853998790930957,2014-01-01
2014,M02,Feb,109.24504428571429,106.73610227128077,0.3697908650968973,0.16671013283671154,2014-02-01
2014,M03,Mar,109.76930741935485,107.42348747976942,0.6440044126228228,0.4798964905624814,2014-03-01
2014,M04,Apr,110.17402766666666,107.7776363404921,0.3296754453157913,0.36870073869159636,2014-04-01
2014,M05,May,110.33172258064516,108.15406157371206,0.34926098400485106,0.14313256701081745,2014-05-01
2014,M06,Jun,110.54215333333333,108.35545816588169,0.18621269440941557,0.19072552097096906,2014-06-01
2014,M07,Jul,110.58400419354838,108.31317852012148,-0.03901939641607344,0.037859639018300584,2014-07-01
2014,M08,Aug,110.56623903225807,108.13223982106163,-0.1670514165792336,-0.016064856232933522,2014-08-01
2014,M09,Sep,110.67186366666667,108.21361677365387,0.07525688243108508,0.09553063876739376,2014-09-01
2014,M10,Oct,110.31638451612903,107.94175410521723,-0.2512277812553698,-0.3212010160127954,2014-10-01
2014,M11,Nov,109.89403933333334,107.3589314615119,-0.5399417941061246,-0.3828490071064117,2014-11-01
2014,M12,Dec,108.95812193548387,106.75019548653417,-0.5670100910011078,-0.851654378642519,2014-12-01
2015,M01,Jan,107.81394483870967,106.2478405557273,-0.4705892373473408,-1.0501072122477417,2015-01-01
2015,M02,Feb,108.06480821428572,106.70927970031461,0.43430449237722435,0.23268175183770445,2015-02-01
2015,M03,Mar,108.73791322580645,107.34438362641158,0.5951721611097138,0.6228716106968069,2015-03-01
2015,M04,Apr,108.778327,107.56260115291593,0.2032873254587786,0.03716622196863195,2015-04-01
2015,M05,May,109.46484161290323,108.11087268825807,0.5097232025494502,0.6311134137071406,2015-05-01
2015,M06,Jun,109.839655,108.48957102071249,0.3502869998528446,0.34240527056368375,2015-06-01
2015,M07,Jul,109.90935612903226,108.49684493826261,0.006704715929539695,0.06345716310951488,2015-07-01
2015,M08,Aug,109.78141,108.34318343001583,-0.1416276282819262,-0.11641058917865044,2015-08-01
